city,temp,country,date,latitude,longitude,cloudiness,humidity,wind speed
Chokurdakh,-47.76,RU,1639071633,70.6333,147.9167,87,100,2.73
Saint-Philippe,78.39,RE,1639071725,-21.3585,55.7679,55,78,12.33
Saldanha,69.85,ZA,1639071475,-33.0117,17.9442,81,91,23.4
Fortuna,48.36,US,1639071725,40.5982,-124.1573,1,80,1.99
Kaitangata,55.92,NZ,1639071725,-46.2817,169.8464,94,81,3.71
Lakatoro,80.56,VU,1639071725,-16.0999,167.4164,88,83,7.23
Rikitea,75.34,PF,1639071725,-23.1203,-134.9692,77,73,21.18
Bengkulu,76.23,ID,1639071726,-3.8004,102.2655,100,89,5.08
Clyde River,-10.97,CA,1639071726,70.4692,-68.5914,65,84,5.75
Vanavara,-0.58,RU,1639071726,60.34,102.2797,100,93,12.93
Punta Arenas,62.71,CL,1639071726,-53.15,-70.9167,20,36,20.71
Hermanus,65.8,ZA,1639071726,-34.4187,19.2345,99,88,13.71
La Ronge,19.65,CA,1639071726,55.1001,-105.2842,90,86,8.05
Narsaq,26.82,GL,1639071726,60.9167,-46.05,47,81,5.06
Solikamsk,25.74,RU,1639071444,59.6196,56.7729,100,90,10.02
Nanortalik,28.72,GL,1639071726,60.1432,-45.2371,100,87,23.13
Port Elizabeth,70.09,ZA,1639071726,-33.918,25.5701,90,94,9.22
Atuona,78.19,PF,1639071727,-9.8,-139.0333,81,66,14.52
Srednekolymsk,-30.26,RU,1639071727,67.45,153.6833,100,100,0.96
Inhambane,80.58,MZ,1639071727,-23.865,35.3833,40,78,6.91
Hithadhoo,81.66,MV,1639071727,-0.6,73.0833,100,78,11.36
Bredasdorp,65.28,ZA,1639071727,-34.5322,20.0403,100,86,11.23
Mchinji,75.04,MW,1639071727,-13.7984,32.8802,73,42,7.18
Caravelas,71.78,BR,1639071727,-17.7125,-39.2481,100,98,2.28
Bereda,54.41,ES,1639071728,43.2686,-7.5406,100,100,7.87
